Código,Posto,Mês/Ano,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
202,Jaboatão dos Guararapes,jun./2024,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
268,Jaboatão dos Guararapes (Bar.Duas Unas),jun./2024,"1,3","20,9","7,1",59,"19,6","9,3","25,1","18,9","26,4","4,9","2,9","5,1","0,7","29,5","110,2","43,4","0,5","0,7","19,3","13,8","12,4","14,4","12,8","4,5","5,2","11,4",0,0,0,0,-,"1761,8"
205,Moreno,jun./2024,"1,9","20,1","7,2",0,"19,2","9,7","24,9","18,1","26,1","4,7","4,1","5,2","0,9","29,1","109,4","10,1","0,4","0,7","19,1","13,2","13,8","13,1","11,2","6,1","3,1","11,1","2,3",0,0,0,-,"1432,4"
199,Olinda,jun./2024,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
551,Olinda (Academia Santa Gertrudes),jun./2024,0,20,"4,8","42,6","8,6",6,"1,6",21,13,"4,7","4,5","5,2","3,2","18,7","90,5","20,1","0,1",0,"26,2","9,1","15,2","3,7","6,7","2,7","22,6","8,4","0,6",0,0,0,-,"1456,7"
209,Olinda (Alto da Bondade),jun./2024,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,-,0
451,Paulista,jun./2024,0,"8,5","16,8",0,"2,4","4,3","16,3","43,2","16,9","4,2","2,8",1,"2,2","5,3","61,6",28,"8,3","0,2","24,6","14,2",17,"3,8","11,6",0,"13,1","10,1",0,0,0,0,-,"1747,4"
265,Recife (Alto da Brasileira),jun./2024,"0,5","17,5","3,8",65,"9,7","4,7","16,2","29,1","13,5","15,8","2,2","4,5","6,2","6,5",103,"88,2","0,2",0,"10,4","29,7","19,2","9,3","6,2","10,7","12,1","4,7","0,9",0,0,0,-,"1819,1"
196,Recife (Codecipe / Santo Amaro),jun./2024,0,"17,6","8,6","73,2","13,7","6,2","23,6",41,"9,2","1,2","3,2","6,4","7,2","10,8",122,66,"0,6",0,22,7,7,"1,2",2,"7,4","23,5",4,0,0,0,0,-,"1511,9"
30,Recife (Várzea),jun./2024,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
267,São Lourenço da Mata (Tapacurá),jun./2024,0,"9,2","8,1","34,4","1,6","2,4","14,7","9,3","6,3","8,6","1,8","1,1","3,7","40,1","93,8","35,1","4,9",0,"4,8","9,5","9,9","8,6","20,2",0,"4,3","4,1",0,0,0,0,-,"1214,2"
198,Abreu e Lima,jul./2024,0,0,"6,8","2,3","1,5","10,9","21,2","1,4","0,2","12,1",0,"33,5","16,3","2,4",0,"0,3","0,1","2,3","0,9",0,6,"3,2",0,-,"0,2",0,0,"7,7","2,3","2,7",0,"1873,8"
309,Araçoiaba (Granja Cristo Redentor),jul./2024,0,0,0,0,"9,8","10,1","23,2",0,0,"8,9","4,2","28,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1208,9"
301,Cabo,jul./2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
